indx,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+39,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+39,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
0.0,-673.0,-368.9333333333333,-298.2,-983.8333333333334,-538.8333333333334,-1256.9666666666667,-605.1333333333333,-774.7333333333333,-566.2,-512.2666666666667,-338.4,-329.93333333333334,-1141.2333333333331,-563.0,-502.0,-420.3,-640.9333333333333,-447.4333333333333,-577.4333333333333,-704.1,-331.7,-569.4,-576.7666666666667,-568.3,-900.3666666666667,-904.2,-345.1666666666667,-1224.4666666666667,-577.3333333333334,-547.3,-1033.3666666666666,-1044.5333333333333,-1198.6,-605.8666666666667,-460.8,-490.5,-326.56666666666666,-528.0,-470.23333333333335,-617.6333333333333,-1284.7,-1732.2333333333331,-1763.8666666666666,-760.0,-1816.9,-1885.4,-763.3,-1258.4666666666667,-1343.8333333333333,-1380.4,-1175.8,-1786.3,-1153.7666666666669,-1753.3,-1198.9,-776.5,-1373.8,-1253.1333333333334,-1373.5666666666666,-1632.7333333333331,-1321.0,-806.2,-1776.4,-1284.7,-1228.6,-1768.8666666666666,-1296.3333333333333,-1198.2,-1142.8,-1742.3,-753.4,-875.5,-1163.1333333333334,-1175.8,-1161.1,-1161.4333333333334,-1241.9666666666667,-789.7,-1257.0666666666666,-1627.9,-639.0991666666664,268.53100947138444,-1256.9666666666667,-298.2,-1305.9825000000003,333.55646326719847,-1885.4,-753.4
15.0,-150.8,-977.8,-100.0,-100.0,-1634.0333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-885.4,-100.0,-552.1666666666666,-3413.2,-100.0,-1238.5,-100.0,-100.0,-100.0,-100.0,-2146.0,-5050.0,-1491.6333333333334,-5050.0,-3416.5,-1019.9666666666668,-100.0,-100.0,-2502.4,-100.0,-100.0,-100.0,-3373.6,-80.1,-664.3,-601.6,-100.0,-5050.0,-100.0,-1592.1666666666667,-106.6,-100.0,-106.6,-113.2,-2863.866666666667,-3832.733333333333,-100.0,-103.3,-100.0,-994.3,-100.0,-1043.8,-100.0,-2836.4666666666667,-100.0,-100.0,-4378.833333333333,-100.0,-2291.2,-100.0,-116.5,-100.0,-4373.433333333333,-2746.0666666666666,-100.0,-100.0,-106.6,-100.0,-100.0,-100.0,-100.0,-100.0,-126.4,-3337.3,-103.3,-100.0,-6145.6,-100.0,-1361.1666666666667,-100.0,-1072.2541666666668,1512.0946322774416,-5050.0,-80.1,-977.1816666666666,1576.8195195950827,-6145.6,-100.0
30.0,-5050.0,-100.0,-1064.4,-100.0,-995.1333333333332,-669.5,-934.9,-100.0,-1979.6,-1422.6,-1495.9,-100.0,-73.9,-3380.2,-1234.4333333333334,-100.0,-100.0,-100.0,-1023.7333333333332,-100.0,-1680.4666666666667,-74.16666666666667,-100.0,-505.2,-74.13333333333334,-3367.0,-962.6333333333332,-100.0,-87.0,-1444.6333333333334,-100.0,-2617.9,-3350.5,-3357.1,-5050.0,-2542.0,-1130.6,-5050.0,-5050.0,-1164.7666666666669,-100.0,-100.0,-100.0,-113.2,-100.0,-100.0,-100.0,-113.2,-133.0,-123.1,-100.0,-1335.4,-100.0,-5091.666666666667,-4452.8,-100.0,-100.0,-100.0,-100.0,-100.0,-4918.966666666666,-878.8,-100.0,-100.0,-2479.3,-4848.866666666667,-100.0,-1924.9,-139.6,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-129.7,-109.9,-1319.0,-100.0,-1448.31,1599.1903017133443,-5050.0,-73.9,-762.7850000000001,1473.53553117988,-5091.666666666667,-100.0
45.0,-5050.0,-3406.6,-100.0,-100.0,-1076.2666666666669,-1107.0,-1084.2,-100.0,-1299.8333333333333,-1706.6333333333334,-100.0,-2551.9,-100.0,-3413.2,-947.3,-100.0,-2578.3,-100.0,-5050.0,-1450.6,-1924.733333333333,-5050.0,-100.0,-4.0,-100.0,-100.0,-3367.0,-87.4,-100.0,-100.0,-100.0,-100.0,-1629.7666666666669,-3403.3,-5050.0,-100.0,-1043.7333333333331,-5050.0,-5050.0,-1628.3333333333333,-100.0,-103.3,-100.0,-100.0,-4980.7,-100.0,-228.7,-136.3,-100.0,-100.0,-100.0,-3060.0,-100.0,-100.0,-4784.5,-100.0,-100.0,-100.0,-958.7333333333332,-100.0,-4798.533333333334,-100.0,-3603.9,-100.0,-100.0,-6033.4,-100.0,-2542.0,-116.5,-100.0,-100.0,-4813.566666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-4311.166666666667,-100.0,-1637.7525,1800.8673385001969,-5050.0,-4.0,-1076.7824999999998,1843.8571874138288,-6033.4,-100.0
60.0,-5050.0,-100.0,-7.3,-491.8666666666667,-337.6,-1161.6333333333334,-1086.1666666666667,-3409.9,-1944.6,-103.1,-100.0,-2608.0,-100.0,-3472.6,-1006.5,-1645.1666666666667,-2568.4,-100.0,-100.0,-1630.3666666666666,-1504.5,-5050.0,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-432.7,-100.0,-393.73333333333335,-1766.2666666666669,-3304.3,-100.0,-100.0,-1024.9333333333334,-5050.0,-5050.0,-1599.9333333333334,-136.3,-253.66666666666663,-100.0,-100.0,-100.0,-119.8,-217.3333333333333,-100.0,-100.0,-100.0,-159.4,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-3387.733333333333,-100.0,-100.0,-123.1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-4892.633333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-139.6,-100.0,-1327.5891666666666,1617.5644414854892,-5050.0,-4.0,-313.2391666666667,905.8840060803713,-4892.633333333333,-100.0
75.0,-5050.0,-2063.5,-100.0,-518.7333333333333,-4.0,-1049.3666666666666,-61.266666666666666,-3360.4,-100.0,-100.0,-5050.0,-330.3,-100.0,-3324.1,-357.5,-1654.1,-5050.0,-100.0,-100.0,-1963.8666666666663,-1826.8666666666663,-5050.0,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-508.1,-100.0,-506.26666666666665,-1195.2333333333331,-3492.4,-82.53333333333333,-507.26666666666665,-916.4666666666668,-5050.0,-5050.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-126.4,-195.7,-1385.6566666666665,1823.9035711408956,-5050.0,-4.0,-103.05250000000001,15.593177132224307,-195.7,-100.0
90.0,-100.0,-2033.8,-100.0,-375.5,-100.0,-1273.9,-4.0,-3238.3,-100.0,-100.0,-100.0,-100.0,-2522.2,-3403.3,-4.0,-1467.6666666666667,-100.0,-100.0,-67.86666666666666,-2177.5,-1854.4,-5050.0,-68.33333333333333,-4.0,-100.0,-1786.3,-100.0,-132.9,-100.0,-574.0666666666667,-100.0,-315.7333333333333,-101.9,-3367.0,-4.0,-347.2,-835.1,-5050.0,-5050.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-337.2333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1062.7241666666666,1535.4725436698504,-5050.0,-4.0,-105.93083333333334,37.50988351236389,-337.2333333333333,-100.0
105.0,-2004.1,-1994.2,-100.0,-532.3666666666667,-4.0,-608.3666666666667,-100.0,-3357.1,-100.0,-100.0,-100.0,-100.0,-2578.3,-100.0,-4.0,-1782.5666666666666,-371.56666666666666,-1505.8,-100.0,-486.9666666666666,-5050.0,-100.0,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-278.2333333333333,-100.0,-450.26666666666665,-100.0,-3370.3,-4.0,-344.5,-356.2333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-198.8,-100.0,-100.0,-100.0,-100.0,-100.0,-258.4,-100.0,-100.0,-100.0,-100.0,-169.3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-888.7,-100.0,-100.0,-168.63333333333333,-100.0,-100.0,-129.7,-100.0,-150.7,-100.0,-677.1716666666667,1150.579181280459,-5050.0,-4.0,-131.60583333333332,127.08851613643418,-888.7,-100.0
120.0,-100.0,-2083.3,-100.0,-100.0,-4.0,-100.0,-100.0,-3357.1,-100.0,-4.0,-100.0,-4.0,-100.0,-100.0,-4.0,-1625.1333333333334,-100.0,-100.0,-100.0,-1410.1,-100.0,-100.0,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-107.73333333333332,-100.0,-100.0,-100.0,-3357.1,-4.0,-87.06666666666666,-2575.0,-100.0,-394.6666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1033.9,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-219.8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-106.6,-100.0,-100.0,-100.0,-100.0,-438.03000000000003,889.982406746947,-3357.1,-4.0,-126.50750000000002,148.36363053452354,-1033.9,-100.0
135.0,-100.0,-2103.1,-100.0,-4.0,-4.0,-100.0,-4.0,-3400.0,-100.0,-4.0,-100.0,-4.0,-4.0,-136.96666666666667,-100.0,-1492.6,-6.066666666666666,-100.0,-100.0,-100.0,-100.0,-100.0,-2575.0,-4.0,-1423.3,-1707.1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-4.0,-100.0,-75.3,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-217.5,-100.0,-100.0,-100.0,-100.0,-100.0,-211.46666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-154.8,-100.0,-100.0,-100.0,-100.0,-140.66666666666666,-100.0,-378.8858333333333,789.0909155021764,-3400.0,-4.0,-108.11083333333333,26.916995327569296,-217.5,-100.0
