<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+39,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+39,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
23498900.0,1948100.0,726100.0,729000.0,709200.0,769000.0,698900.0,837500.0,1358300.0,800200.0,869900.0,727900.0,753400.0,747600.0,930300.0,825500.0,860900.0,1346700.0,1045100.0,1305000.0,1442100.0,789900.0,811200.0,755700.0,799200.0,740800.0,693600.0,763900.0,702700.0,714500.0,1373800.0,688900.0,824100.0,1522800.0,1260300.0,1192000.0,1250000.0,757400.0,808400.0,1395200.0,1629800.0,1039500.0,723100.0,872500.0,715100.0,717500.0,700000.0,739300.0,690200.0,724700.0,1045600.0,781700.0,1439400.0,734400.0,890700.0,744800.0,750900.0,1206400.0,728000.0,724300.0,746600.0,714600.0,724000.0,754700.0,735900.0,722900.0,919400.0,866000.0,754700.0,749100.0,719400.0,784300.0,770000.0,719500.0,713000.0,1043200.0,754400.0,746100.0,815500.0,793200.0,0.00151935,0.003577311549767865,0.0006889,0.0234989,0.00082861,0.00020068614327492594,0.0006902,0.0016298
852900.0,875500.0,792200.0,810700.0,746000.0,790300.0,727900.0,779000.0,715000.0,885700.0,768300.0,869600.0,752900.0,786300.0,970800.0,756600.0,867600.0,1569700.0,1297600.0,851000.0,766100.0,774000.0,873200.0,757000.0,915000.0,912500.0,710400.0,803100.0,894300.0,772200.0,838600.0,796500.0,747400.0,754400.0,709200.0,853200.0,761200.0,702400.0,1074000.0,725100.0,783900.0,1184400.0,1272300.0,814600.0,771900.0,695300.0,688400.0,814600.0,795700.0,741700.0,802600.0,774600.0,740000.0,719000.0,751800.0,1063800.0,736600.0,688000.0,717400.0,707000.0,772700.0,784800.0,696600.0,726100.0,727500.0,809800.0,829100.0,746700.0,955400.0,749200.0,699500.0,769700.0,714400.0,733600.0,726800.0,756700.0,789600.0,719200.0,717300.0,719900.0,0.000840135,0.00016138371466469087,0.0007024,0.0015697,0.000785205,0.00012485117694525504,0.000688,0.0012723
687600.0,777300.0,877100.0,751300.0,730700.0,723900.0,800500.0,713600.0,828100.0,706100.0,712800.0,757400.0,768700.0,724400.0,985100.0,830200.0,793500.0,1463900.0,1012500.0,956900.0,762100.0,747300.0,759100.0,743600.0,854400.0,732200.0,726500.0,768400.0,936400.0,732100.0,996200.0,787300.0,724500.0,957100.0,739700.0,739800.0,718100.0,693800.0,1083800.0,737000.0,714900.0,1253600.0,1207700.0,717700.0,732600.0,701100.0,967000.0,694100.0,685100.0,732700.0,701900.0,710100.0,707200.0,815200.0,723400.0,980700.0,704100.0,797000.0,728800.0,684500.0,756000.0,697900.0,678200.0,882200.0,791400.0,671400.0,753700.0,795400.0,1048200.0,685000.0,643800.0,711900.0,666500.0,700200.0,732500.0,732700.0,824500.0,711800.0,800900.0,767300.0,0.000813525,0.0001457706958521869,0.0006876,0.0014639,0.0007752725,0.00013694540178667126,0.0006438,0.0012536
767900.0,765000.0,786100.0,698500.0,627000.0,701800.0,664900.0,772900.0,729100.0,649000.0,701900.0,862400.0,775400.0,724800.0,1083400.0,716500.0,842200.0,1723800.0,978600.0,966800.0,791800.0,766500.0,652200.0,771400.0,934500.0,772200.0,652400.0,715500.0,896900.0,728900.0,766400.0,684700.0,728100.0,706600.0,743200.0,761700.0,700000.0,799700.0,1026500.0,701000.0,748800.0,1450600.0,1294900.0,703300.0,682700.0,756300.0,689600.0,652000.0,645000.0,818100.0,774500.0,704600.0,787900.0,712000.0,721200.0,1014600.0,748500.0,676200.0,714900.0,719100.0,707700.0,667900.0,795400.0,751600.0,682000.0,645900.0,741600.0,889000.0,984700.0,836600.0,626900.0,637100.0,706600.0,658400.0,765900.0,647000.0,710100.0,669600.0,685500.0,848900.0,0.000795955,0.00018332083540151047,0.000627,0.0017238,0.00076683,0.0001660379508672795,0.0006269,0.0014506
837800.0,783200.0,735200.0,798800.0,618500.0,691500.0,693200.0,739700.0,646400.0,643500.0,942500.0,796600.0,720400.0,720700.0,1138300.0,824200.0,732600.0,1534800.0,1242100.0,1243600.0,706400.0,962200.0,650200.0,780800.0,1044300.0,762600.0,767800.0,697700.0,900900.0,711700.0,705600.0,667500.0,722200.0,702400.0,734700.0,707800.0,700500.0,727400.0,963100.0,712900.0,704900.0,1192900.0,1251500.0,701700.0,695800.0,666800.0,988300.0,628200.0,640100.0,1131700.0,708000.0,705500.0,690900.0,742500.0,720700.0,761800.0,755100.0,712700.0,657900.0,640300.0,875300.0,649000.0,661300.0,718900.0,728800.0,667800.0,708500.0,775700.0,1032600.0,703300.0,733700.0,631600.0,658400.0,673000.0,921200.0,982500.0,701000.0,701900.0,722700.0,1001100.0,0.0008103075,0.00019260666094334222,0.0006185,0.0015348,0.00077364,0.00016060818671856565,0.0006282,0.0012515
900200.0,836200.0,716600.0,681600.0,616900.0,704000.0,646300.0,667300.0,723600.0,750400.0,774700.0,760700.0,707200.0,892800.0,990000.0,713700.0,700600.0,1496400.0,1268800.0,1447200.0,765800.0,750900.0,681400.0,1138600.0,1436500.0,801500.0,647700.0,757500.0,1041100.0,694900.0,698400.0,684100.0,656600.0,742600.0,739700.0,803500.0,750100.0,666600.0,936800.0,778900.0,675200.0,1706100.0,1316800.0,705500.0,641200.0,655100.0,797300.0,762500.0,680200.0,938700.0,690300.0,730700.0,661100.0,860700.0,797100.0,706800.0,812200.0,656500.0,641000.0,739600.0,689500.0,668900.0,648300.0,649800.0,664700.0,756500.0,698800.0,786300.0,951900.0,718400.0,671700.0,633800.0,656900.0,675000.0,705100.0,691200.0,716700.0,703600.0,646700.0,814200.0,0.00082921,0.0002269774966819398,0.0006169,0.0014964,0.000758065,0.00019598225135494758,0.0006338,0.0017061
649700.0,813800.0,662800.0,694900.0,615100.0,652100.0,1339200.0,711200.0,686900.0,666000.0,675800.0,648000.0,703800.0,734400.0,960100.0,720000.0,861700.0,1418200.0,1117900.0,1596300.0,732500.0,693000.0,995600.0,661100.0,1032400.0,691600.0,642700.0,813800.0,780900.0,737300.0,706900.0,687000.0,713400.0,714200.0,656900.0,710600.0,737800.0,659000.0,879800.0,750300.0,775700.0,1453500.0,1591100.0,748500.0,1483800.0,796400.0,659400.0,806400.0,679600.0,981700.0,719000.0,922000.0,655500.0,703500.0,748300.0,925400.0,724000.0,668000.0,1052700.0,864000.0,710400.0,652600.0,671500.0,793300.0,732400.0,660500.0,670000.0,756800.0,994400.0,639800.0,651600.0,710400.0,634000.0,776100.0,728500.0,729600.0,701500.0,726400.0,731400.0,758300.0,0.0007981175,0.00022124914241467868,0.0006151,0.0015963,0.0008097,0.00022593732509657377,0.000634,0.0015911
720900.0,915300.0,735100.0,703300.0,849800.0,642600.0,707300.0,683200.0,739800.0,1000300.0,731100.0,622700.0,704000.0,641100.0,1042300.0,685600.0,700800.0,1491400.0,1198300.0,1414200.0,893700.0,1010300.0,660400.0,738400.0,977800.0,687300.0,696100.0,736700.0,930800.0,675400.0,645200.0,798600.0,632200.0,674900.0,751300.0,645200.0,701800.0,808800.0,909100.0,676800.0,675000.0,1433500.0,1568800.0,709300.0,721200.0,642900.0,647300.0,790500.0,1353800.0,1067500.0,681100.0,737400.0,762600.0,698200.0,707100.0,1170000.0,655600.0,688800.0,699000.0,723700.0,706400.0,669600.0,647900.0,651300.0,658100.0,829700.0,709300.0,906900.0,1030000.0,628600.0,760100.0,664600.0,626100.0,683200.0,704500.0,753300.0,700300.0,713700.0,762700.0,762100.0,0.0008044975,0.00020195769357365357,0.0006227,0.0014914,0.0007925425,0.0002242037064671094,0.0006261,0.0015688
655300.0,949500.0,676800.0,694400.0,728700.0,643700.0,664000.0,708600.0,649100.0,663900.0,648700.0,694100.0,706100.0,620100.0,852900.0,727200.0,685600.0,1525000.0,1126800.0,1256900.0,680500.0,686400.0,652200.0,735000.0,1129200.0,781800.0,652700.0,754300.0,1076700.0,668100.0,682200.0,704300.0,641300.0,858100.0,733300.0,635600.0,695100.0,701100.0,872300.0,742600.0,631900.0,1368600.0,1368600.0,624300.0,652100.0,741700.0,761700.0,675500.0,711000.0,1116000.0,718900.0,746500.0,758600.0,741700.0,787500.0,1113600.0,635400.0,653300.0,718600.0,653100.0,958800.0,670200.0,651500.0,670700.0,765900.0,685700.0,704700.0,881700.0,1030700.0,626900.0,658200.0,690700.0,765600.0,693100.0,702800.0,923300.0,705500.0,705000.0,741700.0,866000.0,0.000774005,0.0001941440939228598,0.0006201,0.001525,0.0007819325,0.00018408508259664983,0.0006243,0.0013686
660400.0,724000.0,752400.0,758200.0,819800.0,756600.0,657900.0,676400.0,664900.0,651000.0,677900.0,679700.0,746900.0,616600.0,940700.0,672400.0,697200.0,1489600.0,1158400.0,1600900.0,705900.0,738500.0,657100.0,677800.0,1106600.0,698200.0,839700.0,773400.0,1053600.0,624200.0,656100.0,736500.0,709200.0,776100.0,661300.0,738000.0,802700.0,723700.0,970900.0,674700.0,700700.0,1457500.0,1665900.0,769500.0,644100.0,654800.0,654900.0,750400.0,667100.0,1191900.0,718800.0,731400.0,740900.0,770300.0,763700.0,709700.0,626100.0,645100.0,679300.0,722500.0,760500.0,769100.0,738900.0,709000.0,666400.0,709500.0,739400.0,750600.0,1029300.0,638300.0,732500.0,644600.0,663600.0,719600.0,756900.0,816400.0,690800.0,704700.0,658200.0,846800.0,0.0007931525,0.000216069382241695,0.0006166,0.0016009,0.0007752425,0.0002108031295533517,0.0006261,0.0016659
