indx,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
0.0,-593.5333333333333,-588.0333333333333,-694.2666666666667,-657.8,-343.0,-966.1666666666666,-1001.4333333333332,-952.6666666666666,-425.3333333333333,-512.1666666666666,-1261.6,-773.2,-1252.7666666666669,-796.3,-1116.4,-819.4,-1433.2,-786.4,-1195.6,-1200.5,-673.4399999999999,231.50483385615388,-1001.4333333333332,-343.0,-1063.5366666666666,245.58332545337998,-1433.2,-773.2
15.0,-100.0,-1681.9333333333334,-100.0,-1189.0,-621.4,-2542.0,-78.63333333333334,-100.0,-100.0,-100.0,-1835.6666666666667,-2050.3,-1080.8333333333333,-103.3,-1911.7,-100.0,-100.0,-109.9,-1070.9666666666667,-100.0,-661.2966666666667,867.53629994142,-2542.0,-78.63333333333334,-846.2666666666667,845.5271580864381,-2050.3,-100.0
30.0,-100.0,-100.0,-75.93333333333334,-100.0,-100.0,-84.96666666666667,-100.0,-1097.6666666666667,-100.0,-3393.4,-1443.7,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1121.9666666666667,-4012.1666666666665,-525.1966666666667,1055.9201090301865,-3393.4,-75.93333333333334,-727.7833333333333,1256.709745037256,-4012.1666666666665,-100.0
45.0,-100.0,-100.0,-100.0,-100.0,-100.0,-5.233333333333333,-100.0,-100.0,-62.23333333333333,-3423.1,-1037.7666666666669,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-951.4,-5106.1,-419.0566666666667,1055.9581792422662,-3423.1,-5.233333333333333,-779.5266666666668,1565.168098320433,-5106.1,-100.0
60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-5050.0,-100.0,-100.0,-103.3,-100.0,-100.0,-100.0,-100.0,-100.0,-1433.7333333333331,-100.0,-595.0,1565.3274417833477,-5050.0,-100.0,-233.7033333333333,421.64883769949284,-1433.7333333333331,-100.0
75.0,-77.86666666666666,-100.0,-100.0,-2535.4,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-152.8,-100.0,-100.0,-331.7266666666667,774.876804832011,-2535.4,-4.0,-105.28,16.696826045689047,-152.8,-100.0
90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-142.7,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-104.27000000000001,13.502925608918975,-142.7,-100.0
105.0,-1123.0333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-386.56666666666666,-100.0,-100.0,-100.0,-202.30333333333334,323.5115455607591,-1123.0333333333333,-100.0,-128.65666666666667,90.62033681489183,-386.56666666666666,-100.0
120.0,-988.2333333333332,-100.0,-100.0,-100.0,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-5050.0,-100.0,-100.0,-100.0,-100.0,-100.0,-424.4,-100.0,-100.0,-154.23333333333332,-179.2233333333333,285.85370947780655,-988.2333333333332,-4.0,-632.8633333333333,1555.3221636380365,-5050.0,-100.0
135.0,-1290.2333333333331,-100.0,-100.0,-4.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-647.8,-100.0,-100.0,-100.0,-100.0,-100.0,-209.42333333333332,380.9544634496649,-1290.2333333333331,-4.0,-154.78,173.22957022402383,-647.8,-100.0
