<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
22288345300.0,112244081600.0,16720471300.0,112603972000.0,15707018600.0,112233966700.0,11876951800.0,112534688200.0,18013694200.0,113341033600.0,12420461900.0,112377446200.0,20304465000.0,112620770700.0,18814922800.0,112213619400.0,36846456400.0,133910379800.0,37390165200.0,133887024600.0,64.75642233,50.48626364819205,11.8769518,113.3410336,73.0785712,51.67548373161367,12.4204619,133.9103798
20287802800.0,118796524000.0,11885673800.0,118756871500.0,13669033600.0,118377193900.0,11939081200.0,118861306900.0,18226410400.0,118728345000.0,11852502700.0,118966706200.0,13689108800.0,118682624700.0,14909318900.0,118609022300.0,39672760300.0,142778919300.0,39510544600.0,142808039700.0,66.95282431,54.61078687891155,11.8856738,118.8613069,76.14795475,56.55553906317396,11.8525027,142.8080397
21936510600.0,120409797500.0,11788805700.0,120847594400.0,16520206100.0,121144999400.0,15734028300.0,121026653200.0,13726646500.0,120684819900.0,14920751500.0,121338125500.0,11960702600.0,121319494100.0,13690995300.0,121332951600.0,42162626200.0,147375522000.0,42059761300.0,147023269500.0,68.38200616,55.33649014861867,11.7888057,121.1449994,78.31841996,57.98517421092644,11.9607026,147.375522
24726074600.0,117767818700.0,18109051500.0,117160519100.0,20544705500.0,117656149500.0,20678575900.0,117671884800.0,14091960900.0,117519061500.0,20991344000.0,117929649500.0,14745402800.0,117392177700.0,17646365200.0,117226873200.0,45926829300.0,146737985500.0,45469474000.0,146597482400.0,68.5925802,51.67675801910925,14.0919609,117.7678187,79.06635836,54.85803674020544,14.7454028,146.7379855
22050963000.0,114447721800.0,17845942600.0,114493786400.0,12758117300.0,114808000900.0,13419881000.0,114621199400.0,20359281600.0,114054671700.0,14697478900.0,114588465400.0,19991957400.0,114498082400.0,18934648800.0,114643522200.0,47952404800.0,146410089800.0,47707476000.0,145712486500.0,65.88595657,51.301901333615504,12.7581173,114.8080009,78.51366122,53.70413718623946,14.6974789,146.4100898
21830197400.0,116351540200.0,14235635100.0,116660079500.0,12428544800.0,117150211800.0,21563241000.0,116935048600.0,15580261100.0,117051995400.0,14261016300.0,117366918400.0,15638050600.0,116637752200.0,12626812100.0,116558714500.0,50819770900.0,150933410000.0,51006131500.0,151108588800.0,66.97867549,52.62695775649933,12.4285448,117.1502118,79.69571653,56.62503999619614,12.6268121,151.1085888
26620818900.0,116698116100.0,15960710300.0,117709406500.0,16542948700.0,116926583900.0,19927491900.0,117549037400.0,12628384800.0,117912726400.0,19621328100.0,117737082500.0,14458198200.0,117499412000.0,12793948800.0,117826824500.0,54719244700.0,155286806800.0,54321996400.0,155185694600.0,67.84762249,52.31064436788151,12.6283848,117.9127264,81.94505366,57.05821894234091,12.7939488,155.2868068
22504970400.0,117342152500.0,19847675800.0,116403985300.0,19884646700.0,116997550100.0,14095472500.0,117736297000.0,14758200100.0,117402049800.0,17917027400.0,117805938200.0,17877429300.0,117349831400.0,17954951800.0,117381168700.0,56111710400.0,157158790700.0,56074823100.0,156616521200.0,67.69730002,52.21283135391716,14.0954725,117.736297,83.22481922,56.41846438131076,17.8774293,157.1587907
27161061400.0,119763591500.0,15250645200.0,120137836700.0,12966158900.0,120311437900.0,13230956300.0,119730897100.0,20621344600.0,119922974200.0,13025400200.0,120501861000.0,17979131500.0,120118195000.0,18689481200.0,120420215500.0,59822506400.0,163315774400.0,59531743400.0,163384820900.0,68.90969038,53.97688568463116,12.9661589,120.3114379,85.67891295,59.0413752029116,13.0254002,163.3848209
23682313400.0,119882784600.0,13408968900.0,121712926900.0,13268005900.0,122076070400.0,15701877100.0,122274609000.0,14603703300.0,122354454500.0,14154973700.0,122096166800.0,13258396600.0,121867584000.0,14970664100.0,122389064500.0,62182790000.0,168361369800.0,62518689200.0,168245094400.0,68.8965714,55.69691005562589,13.2680059,122.3544545,87.00447931,61.525052289387354,13.2583966,168.3613698
