<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+39,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+39,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
393300.0,110200.0,112300.0,103800.0,95900.0,79900.0,101600.0,70600.0,136700.0,101800.0,74400.0,106100.0,219400.0,167800.0,98100.0,91400.0,99500.0,84200.0,92100.0,143400.0,115100.0,93400.0,75400.0,83500.0,89200.0,71500.0,86800.0,104500.0,62700.0,86900.0,93600.0,109100.0,86200.0,79200.0,81000.0,92400.0,98900.0,93900.0,98200.0,86000.0,77300.0,112200.0,111500.0,170800.0,109600.0,75700.0,79900.0,81800.0,88700.0,88900.0,68200.0,78400.0,85600.0,88700.0,100300.0,89600.0,80200.0,96200.0,88500.0,105500.0,64000.0,69700.0,109400.0,116700.0,87300.0,79600.0,152400.0,94400.0,115900.0,97700.0,67100.0,133500.0,105800.0,81700.0,115100.0,87200.0,102300.0,81700.0,76200.0,66000.0,0.00010675,5.410525354841674e-05,6.27e-05,0.0003933,9.45325e-05,2.2642046064788402e-05,6.4e-05,0.0001708
73000.0,84000.0,75800.0,78100.0,88700.0,72000.0,83800.0,105700.0,116300.0,94900.0,62300.0,100400.0,85600.0,100300.0,86400.0,140100.0,117400.0,84100.0,110300.0,71900.0,123900.0,75000.0,71200.0,152800.0,107200.0,74800.0,96200.0,174400.0,74800.0,95600.0,114700.0,93700.0,76100.0,54700.0,97500.0,82500.0,109400.0,100100.0,103400.0,84200.0,59900.0,107200.0,83300.0,92100.0,72800.0,101700.0,100300.0,105100.0,127000.0,109100.0,103200.0,84700.0,84300.0,83200.0,76900.0,100200.0,91200.0,85200.0,66000.0,92400.0,78200.0,86700.0,76200.0,106000.0,121500.0,63900.0,76700.0,98700.0,71100.0,97500.0,91900.0,121600.0,108200.0,81200.0,80400.0,72600.0,91300.0,99600.0,94700.0,65000.0,9.48325e-05,2.4072171266572104e-05,5.47e-05,0.0001744,9.022e-05,1.6326464280346677e-05,5.99e-05,0.000127
122400.0,91000.0,101500.0,91800.0,94400.0,53100.0,45900.0,73000.0,129900.0,76400.0,70800.0,74400.0,43500.0,102500.0,73700.0,100200.0,50600.0,88500.0,83000.0,79900.0,183100.0,95400.0,42300.0,69700.0,60200.0,50900.0,81800.0,85100.0,86100.0,57200.0,80900.0,79800.0,94700.0,53700.0,81100.0,91700.0,63700.0,67100.0,104500.0,71800.0,102300.0,86600.0,86800.0,82400.0,62200.0,84600.0,116200.0,83500.0,110400.0,36600.0,83500.0,83400.0,81700.0,79900.0,44000.0,75900.0,85000.0,84900.0,105700.0,58400.0,169400.0,89900.0,83800.0,85500.0,55900.0,42000.0,92100.0,39700.0,46200.0,54900.0,122700.0,128200.0,58800.0,58700.0,60900.0,48600.0,82600.0,95800.0,66400.0,112600.0,8.11825e-05,2.6225617613905097e-05,4.23e-05,0.0001831,8.07175e-05,2.7345659079876287e-05,3.66e-05,0.0001694
280200.0,107600.0,53800.0,130400.0,80400.0,99700.0,49800.0,61000.0,51600.0,85900.0,41200.0,90900.0,108600.0,93900.0,65800.0,52900.0,48100.0,68600.0,81900.0,99300.0,121900.0,79300.0,91600.0,78400.0,90600.0,50200.0,73500.0,75600.0,78800.0,44300.0,74400.0,82900.0,76900.0,47700.0,68100.0,126900.0,81400.0,62700.0,69800.0,72800.0,83700.0,94300.0,78300.0,82800.0,56000.0,82800.0,120300.0,91700.0,49300.0,68400.0,115800.0,63900.0,82500.0,83400.0,46900.0,92600.0,103900.0,83100.0,122200.0,82500.0,73300.0,81300.0,98100.0,64900.0,94800.0,37300.0,83300.0,75300.0,67300.0,80700.0,82300.0,88300.0,98700.0,105000.0,39500.0,48400.0,82600.0,94800.0,48100.0,45100.0,8.2485e-05,3.9073031882781e-05,4.12e-05,0.0002802,7.93375e-05,2.1365292817546106e-05,3.73e-05,0.0001222
81900.0,73400.0,95200.0,92000.0,44000.0,75300.0,37400.0,98200.0,43300.0,148500.0,56800.0,87900.0,104600.0,67100.0,45100.0,54200.0,46200.0,58000.0,79700.0,79900.0,77100.0,75200.0,82600.0,86600.0,52300.0,100100.0,54500.0,85100.0,60200.0,90800.0,93200.0,88600.0,96700.0,59800.0,57800.0,83600.0,72900.0,51400.0,79800.0,86700.0,85300.0,86200.0,148600.0,82800.0,37900.0,100300.0,82400.0,82300.0,95000.0,43400.0,55400.0,46900.0,91200.0,82900.0,36700.0,84200.0,81600.0,91400.0,93500.0,82500.0,58400.0,89900.0,95000.0,53500.0,81400.0,98700.0,82200.0,180400.0,50100.0,81500.0,118300.0,108700.0,83100.0,84700.0,37900.0,45200.0,82000.0,83800.0,42800.0,29300.0,7.50925e-05,2.186013099052878e-05,3.74e-05,0.0001485,7.9435e-05,2.9819573248421056e-05,2.93e-05,0.0001804
71900.0,97100.0,103500.0,56200.0,85400.0,47800.0,102100.0,52000.0,44500.0,103100.0,58000.0,81800.0,180500.0,72800.0,55100.0,49500.0,52100.0,73200.0,48100.0,170600.0,85200.0,125400.0,59800.0,65100.0,61100.0,46400.0,83300.0,84900.0,55600.0,42000.0,89300.0,82700.0,59000.0,92700.0,41000.0,81100.0,82600.0,45300.0,72700.0,50900.0,87800.0,84900.0,52200.0,104000.0,55700.0,56100.0,83000.0,83000.0,60100.0,67100.0,52800.0,38300.0,116300.0,90200.0,98200.0,83400.0,83300.0,62300.0,49900.0,73300.0,81600.0,65400.0,54700.0,38300.0,83000.0,49500.0,43800.0,164100.0,62000.0,75400.0,72000.0,102900.0,41900.0,95800.0,52900.0,36700.0,43900.0,84200.0,41300.0,44200.0,7.5285e-05,3.103672390522606e-05,4.1e-05,0.0001805,7.03875e-05,2.594849126091821e-05,3.67e-05,0.0001641
95700.0,79900.0,68300.0,91800.0,53300.0,78500.0,45700.0,40500.0,43700.0,74900.0,99300.0,57200.0,151800.0,53600.0,38100.0,44100.0,43300.0,83600.0,63100.0,80600.0,61500.0,80700.0,41300.0,53700.0,48800.0,37700.0,57200.0,68500.0,46800.0,35900.0,89900.0,44200.0,39700.0,71800.0,58600.0,42800.0,72000.0,75300.0,50100.0,92600.0,45400.0,120100.0,83000.0,62000.0,49100.0,35600.0,82800.0,83200.0,83500.0,55300.0,52700.0,82600.0,59900.0,83600.0,71000.0,53500.0,81000.0,96800.0,39900.0,61300.0,81300.0,81500.0,83700.0,84100.0,44500.0,52200.0,97400.0,196400.0,82100.0,59000.0,76900.0,65300.0,70600.0,62100.0,44500.0,42800.0,78700.0,81800.0,41800.0,29000.0,6.39025e-05,2.3443018615248163e-05,3.59e-05,0.0001518,7.095e-05,2.834325316543604e-05,2.9e-05,0.0001964
72400.0,51600.0,47700.0,81000.0,161600.0,121600.0,42600.0,49300.0,69500.0,45200.0,66200.0,94200.0,99400.0,64400.0,50900.0,78700.0,44300.0,53600.0,64800.0,72300.0,50700.0,74700.0,43200.0,41900.0,45400.0,42800.0,80700.0,57900.0,47500.0,43900.0,40100.0,77500.0,42000.0,63500.0,45000.0,69300.0,82300.0,94200.0,71100.0,74700.0,48900.0,69500.0,71100.0,69900.0,41400.0,35300.0,47700.0,80900.0,38800.0,59900.0,52800.0,64500.0,63400.0,59000.0,63600.0,34300.0,53100.0,59600.0,79200.0,65300.0,45700.0,46100.0,52100.0,62600.0,45100.0,42400.0,53700.0,97900.0,47700.0,52800.0,60400.0,115500.0,94000.0,87200.0,45500.0,37400.0,104800.0,51700.0,117500.0,33800.0,6.54925e-05,2.46793112514542e-05,4.01e-05,0.0001616,6.13025e-05,2.148748577362635e-05,3.38e-05,0.0001175
88900.0,43400.0,55600.0,88000.0,57600.0,82600.0,35000.0,44800.0,41400.0,68900.0,70800.0,74600.0,104300.0,57900.0,42900.0,51800.0,44900.0,53200.0,48500.0,57700.0,75000.0,43200.0,44600.0,71000.0,48300.0,68000.0,91800.0,58300.0,61700.0,36900.0,32900.0,64700.0,41000.0,51000.0,65300.0,50300.0,81800.0,67400.0,101700.0,151700.0,43100.0,84100.0,58100.0,52300.0,38200.0,33300.0,82900.0,83900.0,42800.0,91300.0,45500.0,43100.0,54700.0,40900.0,48200.0,68300.0,44600.0,83300.0,97700.0,49500.0,59900.0,64600.0,59000.0,44800.0,42900.0,55500.0,79900.0,81700.0,43600.0,39600.0,76700.0,69600.0,63700.0,51900.0,38500.0,47200.0,53100.0,35000.0,141400.0,37000.0,6.2985e-05,2.3226295332484577e-05,3.29e-05,0.0001517,5.9285e-05,2.2013126037633046e-05,3.33e-05,0.0001414
66600.0,41100.0,35500.0,93700.0,39900.0,84600.0,34100.0,88400.0,56600.0,50400.0,69100.0,57000.0,42600.0,76700.0,71800.0,50700.0,52500.0,50800.0,46900.0,41000.0,36400.0,53300.0,82200.0,49900.0,80700.0,60000.0,60700.0,59900.0,50800.0,67600.0,83000.0,52500.0,39800.0,59900.0,46900.0,59800.0,67100.0,60700.0,93400.0,76800.0,88000.0,140300.0,102900.0,46400.0,56700.0,72300.0,53900.0,37700.0,92000.0,67300.0,94100.0,63700.0,63100.0,67600.0,42200.0,42300.0,56200.0,52400.0,47600.0,43600.0,62500.0,53200.0,47500.0,65800.0,38400.0,48500.0,59800.0,156600.0,56200.0,36700.0,55700.0,72500.0,58000.0,98700.0,38700.0,41000.0,39500.0,78400.0,104100.0,57400.0,5.9785e-05,1.654794975293438e-05,3.41e-05,9.37e-05,6.49875e-05,2.6955311426554956e-05,3.67e-05,0.0001566
